MOD Ref No,Name,Address,Town,County,Area Hectares,Grid Ref,Expected Planning Use,Potential Housing Capacity,Constituency,Financial Year
2371,Salisbury SFA - Land north of Manor Farm Rd,"Manor Farm Rd, Ford",Salisbury,Wiltshire,0.5,415752 133058,Other,0,Salisbury,2014
2372,Salisbury SFA - Land opposite Ford House,"Green Lane, Ford",Salisbury,Wiltshire,0.17,415823 132861,Other,0,Salisbury,2014
2373,"ACIO Chichester, RMP Training Centre/ACIO Chichester",Broyle Rd,Chichester,West Sussex,0.16,485979 106420,Mixed,0,Chichester,2014
2378,Tower Hamlets Volunteer estate - Bow TAC,Bow Road,Mile End,Greater London,0.13,536496  182595,Housing,5,Bethnal Green & Bow,2015
3002,RAF Newton - Newton - Grass Airfield (Pre-emption land & Protocol)),RAF Newton,Newton,Notts,136.7,SK 681 411,Agricultural,0,Rushcliffe,2013
3003,GPSS Hethersett - Hethersett PSD,Station Lane,Norfolk,Norfolk,8.03,617234 304097,Industrial,0,South Norfolk,2013
3005,RAF Stanbridge - RAF Stanbridge Communication Centre,RAF Stanbridge,Leighton Buzzard,Bedfordshire,7.59,SP 938244,Housing,193,South West Bedfordshire,2013
3006,DE ABERPORTH - Aberporth Sports and Social Club ,Sports and Social Club,Parcllyn,Ceredigionshire,1.98,SN246514,Leisure/ Recreation,40,Ceredigion,2014
3008,QinetiQ Aberporth - Land adjoining Trenchard Estate,Trenchard Estate,Aberporth,Ceredigionshire,0.26,n/a,Housing,10,Ceredigion,2014
3009,HUMBER CAMP (DSDC Donnington) - Humber Camp (Land adjoining Hoo Farm) Telford ,Humber Road,TELFORD,Shropshire,8.74,369315,Other,0,Telford,2013
3010,Carlisle SFA - Blackbank House Rosetrees (Carlisle SFA),Rosetrees Lane,Carlisle,Cumbria,0.17,334567,Housing,1,Carlisle,2013
3012,RAF Cowden - RAF Cowden ,RAF Cowden,Cowden,North Yorkshire,25.84,524441,Agricultural,0,Beverley & Holderness,2014
3015,RAF Brampton - RAF Brampton,Brampton,Huntingdon,Cambridgeshire,30.49,520876 270122,Mixed,402,Huntingdon,2013
3018,RAF Wyton (Airfield part only) - Wyton Airfield,Wyton,Huntingdon,Cambridgeshire,253.89,528800 274925,,3200,Huntingdon,2013
3020,Keady Base - Davis Street South,Davis Street,Keady,Co Armagh,0.16,284356 333803,Other,0,Newry & Armagh,2013
3021,Catterick Garrison Miscellaneous - Central Sports Ground and land at Gough Road (Sites 1 & 6),Richmond Road,CATTERICK GARRISON,North Yorkshire,4.42,SE 179979,,0,Richmond (Yorks).,2014
3022,Catterick Garrison Miscellaneous - Land at Shute Road East (Town Centre Site 2),Shute Road,CATTERICK GARRISON,North Yorkshire,0.99,,Housing,38,Richmond (Yorks).,2015
3023,Catterick Garrison Miscellaneous - Land at Shute Road South (Town Centre Site 3),Shute Road,CATTERICK GARRISON,North Yorkshire,1.13,,Retail,0,Richmond (Yorks).,2015
3024,Catterick Garrison Miscellaneous - Land at Shute Road North (Town Centre Site 4),Shute Road,CATTERICK GARRISON,North Yorkshire,1.18,,,0,Richmond (Yorks).,2015
3025,Catterick Garrison Miscellaneous - Land at Somerset Close (Site H/05) north of main road,Somerset Close,CATTERICK GARRISON,North Yorkshire,1.08,SE 17530 97830 ,Housing,24,Richmond (Yorks).,2013
3026,Catterick Garrison Miscellaneous - Land at Gough Road West (Site H/03) south of main road,Gough Road,CATTERICK GARRISON,North Yorkshire,1.4,SE 17100 97600,Housing,16,Richmond (Yorks).,2013
3027,Catterick Garrison Miscellaneous - Land East of Coronation Park (Site H/07) north of Belton Pak,off Catterick Road,CATTERICK GARRISON,North Yorkshire,2.65,SE 18450 97930,Housing,23,Richmond (Yorks).,2013
3028,Catterick Garrison Miscellaneous - Land at Catterick Road (Site H/08),Catterick Road,CATTERICK GARRISON,North Yorkshire,0.56,SE 18570 97680,Housing,10,Richmond (Yorks).,2013
3029,Catterick Garrison Miscellaneous - Land at Arras/Colburn (Sites H/15+16) south of main road,off Catterick Road,CATTERICK GARRISON,North Yorkshire,14.99,SE 19600 97600,Housing,160,Richmond (Yorks).,2013
3031,Masserene Barracks - Massereene Barracks,Randalstown Road,Antrim,Co. Antrim,16.57,31400 38720,Industrial,0,Antrim BC,2013
3035,Divis KP - Divis Range Substation & Comms Mast + Pumphouse (wef 13/07/12) + part DIMR 01 (wef 24/09/12) now DIMR06,Divis Road,Divis,Co. Antrim,0.08,327934E 375405N,Other,0,Belfast,2013
3040,Stanford Army Field Training Centre - Watton Training Area (3),"Watton, Norfolk",Mundford,Norfolk,0.6,594210 299988,Agricultural,0,South West Norfolk,2013
3041,Stanford Army Field Training Centre - Watton Training Area (4),"Watton, Norfolk",Mundford,Norfolk,1.59,594210 299988,Agricultural,0,South West Norfolk,2013
3044,RAF Wainfleet - South Tower,Sea Lane,Friskney,Lincolnshire,0.01,547035 350854,Other,0,Boston and Skegness,2014
3045,RAF Mildenhall - Mildenhall ESA,RAF Mildenhall,Mildenhall,Suffolk,17.35,569000 279250,Other,0,West Suffolk,2014
3058,Norton Barracks - Norton Barracks,Crookbarrow Road,Worcester,Worcestershire,0.17,SO150 867517,Housing,10,Worcestershire,2013
3064,Waterbeach Barracks - Waterbeach Barracks - Phased,Denny End Road,Cambridge,Cambridgeshire,290.5,549636 266124,Housing,7600,South Cambridgeshire,2014
3066,Kirton in Lindsey - Technical Site (Open Airfield) - south of B1400,South Cliff Road,Kirton in Lindsey,North Lincolnshire,123.7,494 397,Other,60,North Lincolnshire (B),2013
3068,KINMEL PARK TRAINING CAMP - Kinmel Park Training Camp Disposal - Main Site,Engine Hill,KINMEL,Denbighshire,3.18,SH9940075064,Industrial,0,Clwyd West,2013
3080,Catterick Training Area - 11 Downholme,Downholme Village,Richmond,North Yorkshire,0.14,411325 497915,Housing,1,Richmondshire,2013
3095,Driffield TA - Driffield Field,Driffield Training Area,Driffield,East Yorkshire,1.33,500150 456100,Other,0,Richmondshire,2013
3096,Driffield TA - Driffield Mound and Woodland,Driffield Training Area,Driffield,East Yorkshire,4.9,498800 456500,Other,0,Richmondshire,2013
3099,WarcopTraining Area - Field at High Green Farm Warcop,High Green Farm,Warcop,Cumbria,4.67,374500 515500,Other,0,Richmondshire,2013
3100,Coningsby SFA - Land at Clinton Park,Clinton Park,Tattershall,Lincolnshire,1.5,521778 358341,Other,0,East Lindsey,2013
3101,Brambles Farm TAC - Brambles Farm TAC           Tranche 1 Garages  and land,Longlands Road,Middlesbrough,Cleveland,0.5,NZ 52440 19813,Other,0,Middlesbrough,2013
3103,RAF Fylingdales - Fylingdales Moor(part),Fylingdales,Pickering,North Yorkshire,461,SE 86900 99000,Agricultural,0,Thirsk & Malton,2013
3112,Stanford Army Field Training Centre - Watton Training Area (8),"Watton, Norfolk",Mundford,Norfolk,1.19,594210 299988,Agricultural,0,South West Norfolk,2013
3124,"Lisburn SFA 52-88 (e) 90-94 (e) 85-111 (o) Mountview Drive, Lisburn",52-88 90-94 85-111 Mountview Drive,Lisburn,Antrim,0.44,327042 366296,Housing,36,Lisburn,2013
3149,Medical Centre RAF Upwood,Upwood,Nr Ramsey,Cambs,2.4,NK,Housing,25,NW Cambridgshire,2013
3166," 4 Magheralave Park, Lisburn",4 Magheralave Park East,Lisburn,Antrim,0.05,326569 365280,Housing,1,Lisburn,2013
3168,"10 Magheralave Park, Lisburn",10 Magheralave Park East,Lisburn,Antrim,0.18,326569 365280,Housing,1,Lisburn,2013
3179,Brambles Farm TAC - Brambles Farm TAC        Tranche 1 garages ,Longlands Road,Middlesbrough,Cleveland,1.71,NZ 52440 19813,Other,0,Middlesbrough,2011
4007,Dreghorn Bks - Edinburgh - Laverockdale cot/polo fields,Colinton,Edinburgh,Lothian,7.328,3219 6681,Housing,58,Edinburgh Pentlands,2013
4009,Camrhu Monitor Station - Rhu - Aros Road Site,Aros Road Rhu,Rhu,Argyll & Bute,1.792,2266 6845,Other,0,Argyll & Bute,2014
4026,HQ 51 Scottish Brigade,Forthside,Stirling,Stirlingshire,1.45,NK,Industrial,0,Stirling,2016
4027,Carrick Castle - Remaining Land at Carrick Castle 0.161 to Community 0.046 to Castle Carrick,Carrick Castle Loch Goil,Carrick Castle,Argyll & Bute,0.04,NS 19396 94475,Leisure/ Recreation,0,Argyll & Bute,2014
4029,Greenock Navy Buildings - Greenock Navy Buildings,Eldon Street,Greenock,Inverclyde,2.15,225802 677954,Housing,1,Inverclyde,2013
4031,Redford Infantry Barracks - Redford Infantry Barracks,Redford Infantry Barracks Colinton Rd ,Edinburgh,Lothian,16.65,322263 669203,Housing,550,Edinburgh Pentlands,2016
4032,Dreghorn Barracks - Dreghorn Barracks,Redford Road ,Edinburgh,Lothian,52.93,322518 668322,Housing,1200,Edinburgh Pentlands,2014
4033,Craigiehall  - HQ 2nd Division (Craigiehall),Craigiehall,Edinburgh,Lothian,31.218,316766 675523,Housing,500,Edinburgh West,2016
4037,Edinburgh SFA - Penicuik - Milton Bridge/Glencorse,"7 Garages, Playpark and potential development site at Belwood Crescent",Penicuik,Midlothian,0.04,324750 662325,Mixed,0,Midlothian,2014
4058,Kingussie Drill Hall - Training Centre wing,High St,Kingussie,Highland,0.09,276038 800809,Housing,1,"Inverness East, Nairn and Lochaber",2013
